TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Distractor1,Distractor2,Distractor3,Distractor4,Distractor5,Distractor6,Distractor7,Distractor8,Distractor9,Distractor10,Distractor11,Distractor12,Distractor13,Distractor14,Distractor15,Distractor16,Practice_Trials.thisRepN,Practice_Trials.thisTrialN,Practice_Trials.thisN,Practice_Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Practice_Ins.started,Practice_Ins.stopped,End_Prac_Ins.keys,End_Prac_Ins.rt,End_Prac_Ins.started,End_Prac_Ins.stopped,text_2.started,text_2.stopped,Fixation_Cross_2.started,Fixation_Cross_2.stopped,Rapid_Image_Present_2.started,Rapid_Image_Present_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,T1Response_2.started,T1Response_2.stopped,T2Response_2.started,T2Response_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,missingPic,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,text_1.started,text_1.stopped,Fixation_Cross.started,Fixation_Cross.stopped,Rapid_Image_Present.started,Rapid_Image_Present.stopped,T1Response.started,T1Response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,T2Response.started,T2Response.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.798468099994352,None,space,0.41562790001626126,20.798468099994352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,Tennis racket,Did you see the Tennis racket?,0.5,0.016,JPG\,coconut,computermouse06,croissant01,deodorant02a,pillow01a,peanut01,boot02b,tennisracket,blender,crayon,eggplant,marker01a,plant01,radish01,blankImage,blankImage,blankImage,tennisracket,coconut,computermouse06,croissant01,deodorant02a,pillow01a,peanut01,boot02b,camera01a,chalk,crayon,eggplant,marker01a,plant01,radish01,tampon,tshirt,0,0,0,0,,,,,,,,,,,21.33857930000522,22.339048599998932,22.339048599998932,23.143918099987786,23.143918099987786,None,right,0.735205600009067,30.024898499978008,None,30.024898499978008,None,30.7892981999903,None,left,0.07793420000234619,30.7892981999903,None,,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,triangle,Did you see the triangle?,0.5,0.016,JPG\,ginger,mousetrap,plum01,slipper01b,coffeebeans,triangle,blender,pants,raspberry01,rope03,scale01a,vase01,blankImage,blankImage,blankImage,blankImage,blankImage,triangle,ginger,mousetrap,plum01,slipper01b,coffeebeans,cookie01,nailclipper03b,pants,raspberry01,rope03,scale01a,vase01,bottlecap,teapot,backpack01a,ball02,0,1,1,1,,,,,,,,,,,30.89996229999815,31.905731099977857,31.889023800002178,32.51077069999883,32.51077069999883,None,right,0.9563912999874447,38.60842189998948,None,38.60842189998948,None,39.58905650000088,None,left,0.08169369999086484,39.58905650000088,None,resources\JPG\coffeebeans.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag5_T1P_T2P,5,P,P,7,12,6,3,15,vacuum,Did you see the vacuum?,0.5,0.016,JPG\,fork07b,lightbulb01,manshoe,saw02b,shoelace,soap03a,vacuumcleaner01,floortile01,necklace,doll,cabbage,blender,hanger02a,laptop01a,nailpolish03b,blankImage,blankImage,vacuumcleaner01,fork07b,lightbulb01,manshoe,saw02b,shoelace,soap03a,tweezers02a,floortile01,necklace,doll,cabbage,diaper01c,hanger02a,laptop01a,nailpolish03b,puzzlepiece01,0,2,2,2,,,,,,,,,,,39.69868949998636,40.70573669997975,40.68908670000383,41.295903699996416,41.295903699996416,None,right,0.5039621999894734,48.893173699994804,None,48.893173699994804,None,49.42195439999341,None,left,0.09089110000059009,49.42195439999341,None,,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,Vulture,Did you see the Vulture?,0.5,0.016,JPG\,shorts01,toast,ramekin01,bib,vulture,cracker02,date,glasses01a,hat03b,blender,measuringtape01,nail,pill,brie,starfish01,blankImage,blankImage,vulture,shorts01,toast,ramekin01,bib,almonds,cracker02,date,glasses01a,hat03b,magnifyingglass01b,measuringtape01,nail,pill,brie,starfish01,teddybear02b,0,3,3,3,,,,,,,,,,,49.538634500000626,50.53889440000057,50.53889440000057,51.16677839998738,51.16677839998738,None,right,5.29631179998978,58.73477509999066,None,58.73477509999066,59.738605599995935,64.05524210000294,None,left,0.08535010000923648,64.05524210000294,None,resources\JPG\brie.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,washing machine,Did you see the washing machine?,0.5,0.016,JPG\,waterbottle03,wheel01,flashlight02b,zucchini01,washingmachine,headphones02b,nutcracker01,paintroller01,paperclip03,blender,ribbon04,tambourine01,bottleofredwine01,pitabread,pot02a,blankImage,blankImage,washingmachine,waterbottle03,wheel01,flashlight02b,zucchini01,flyswatter,headphones02b,nutcracker01,paintroller01,paperclip03,partyhat,ribbon04,tambourine01,bottleofredwine01,pitabread,pot02a,qtip,0,4,4,4,,,,,,,,,,,64.18504459998803,65.18853319998016,65.17188159999205,65.79583960000309,65.79583960000309,None,right,0.5655505000031553,73.3767023999826,None,73.3767023999826,None,73.97196969998186,None,left,0.09107959998073056,73.97196969998186,None,resources\JPG\tambourine01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag1_T1P_T2A,1,P,A,8,9,7,5,14,flower,Did you see the flower?,0.5,0.016,JPG\,razor01,axe01,binder03b,bowl01,kettle01,lettuce,lime,plasticflower01b,mitten04,pencilcase,plunger02,strawbasket01,toothpick02,wallet02a,blankImage,blankImage,blankImage,plasticflower01b,razor01,axe01,binder03b,bowl01,kettle01,lettuce,lime,lock03a,mitten04,pencilcase,plunger02,strawbasket01,toothpick02,wallet02a,carkeys,pickle01a,0,5,5,5,,,,,,,,,,,74.10109209999791,75.10529839998344,75.08865099999821,75.69726059999084,75.69726059999084,None,right,0.7074934999982361,82.83256310000434,None,82.83256310000434,None,83.57164899999043,None,left,0.0713019999966491,83.57164899999043,None,resources\JPG\pencilcase.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag1_T1P_T2A,1,P,A,5,6,4,5,11,Webcam,Did you see the Webcam?,0.5,0.016,JPG\,pictureframe04,stapleremover,straw,adjustablewrench01b,webcam,cane,hairdryer02a,icepack,kiwi01a,lifejacket,piggybank,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,webcam,pictureframe04,stapleremover,straw,adjustablewrench01b,asparagus,cane,hairdryer02a,icepack,kiwi01a,lifejacket,piggybank,workglove02c,bandaid01,glassmop,hairclip03,remotecontrol04,0,6,6,6,,,,,,,,,,,83.67953189997934,84.68841790000442,84.67176609998569,85.30267760000424,85.30267760000424,None,right,0.746652300003916,90.78511399999843,None,90.78511399999843,None,91.55485719998251,None,left,0.08485610000207089,91.55485719998251,None,resources\JPG\kiwi01a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,Wheat,Did you see the Wheat?,0.5,0.016,JPG\,bottleopener01,dentalfloss03b,cooler01,icecreamcone01a,cup01,wheat,pencilsharpener02a,plasticbasket01a,toycar04,apricot,hairclip02,rock01a,honeydewmelon,antenna,blackberry,cardboardbox,blankImage,wheat,bottleopener01,dentalfloss03b,cooler01,icecreamcone01a,cup01,paintcan01,pencilsharpener02a,plasticbasket01a,toycar04,apricot,hairclip02,rock01a,honeydewmelon,antenna,blackberry,cardboardbox,0,7,7,7,,,,,,,,,,,91.6737240999937,92.68810319999466,92.67141559999436,93.27383769999142,93.27383769999142,None,right,0.6518361000053119,101.424821099994,None,101.424821099994,None,102.10459149998496,None,left,0.08090070000616834,102.10459149998496,None,resources\JPG\cup01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,bread,Did you see the bread?,0.5,0.016,JPG\,cleaver01,clipboard,dustpan,hikingshoe01,notebook03a,baguette01,playingcard,pliers02b,raisins,rollingpin01a,swimgoggles,wineglass01,fryingpan02a,safetypin,syringe01,thimble,blankImage,baguette01,cleaver01,clipboard,dustpan,hikingshoe01,notebook03a,pillbottle,playingcard,pliers02b,raisins,rollingpin01a,swimgoggles,wineglass01,fryingpan02a,safetypin,syringe01,thimble,0,8,8,8,,,,,,,,,,,102.20605229999637,103.22119149999344,103.20465450000484,103.81822669997928,103.81822669997928,None,right,0.9985438000003342,111.85897659999318,None,111.85897659999318,112.87110600000597,112.88785509997979,None,left,0.05338930001016706,112.88785509997979,None,resources\JPG\raisins.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag5_T1A_T2P,5,A,P,6,11,5,3,14,dog,Did you see the dog?,0.5,0.016,JPG\,bucket01a,doorlock,cookiecutter,fireextinguisher01,gluestick,highlighter02b,sportbag,spraybottle01,suitcase,thread02,blender,walnut01c,icecubetray01a,toycow,blankImage,blankImage,blankImage,None,bucket01a,doorlock,cookiecutter,fireextinguisher01,gluestick,highlighter02b,sportbag,spraybottle01,suitcase,thread02,vase02,walnut01c,icecubetray01a,toycow,tupperware03a,bracelet01,0,9,9,9,,,,,,,,,,,112.9725499000051,113.98790360000567,113.97142580000218,114.60097410000162,114.60097410000162,None,right,0.540783200005535,121.49344769999152,None,121.49344769999152,None,122.054358399997,None,left,0.07472889998462051,122.054358399997,None,resources\JPG\toycow.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag1_T1A_T2A,1,A,A,8,9,7,3,12,Moose,Did you see the Moose?,0.5,0.016,JPG\,clothespin03b,corkscrew03a,drillbit03a,fusilli03a,needlenosepliers01,perfume01a,pistachio,scrubbingbrush05b,spatula03,toothpaste,toyelephant,toydinosaur,blankImage,blankImage,blankImage,blankImage,blankImage,None,clothespin03b,corkscrew03a,drillbit03a,fusilli03a,needlenosepliers01,perfume01a,pistachio,scrubbingbrush05b,spatula03,toothpaste,toyelephant,toydinosaur,waterbottle01b,highheelshoe01,mechanicalpencil02,relish,0,10,10,10,,,,,,,,,,,122.16095910000149,123.17095609998796,123.15434079998522,123.77243869999074,123.77243869999074,None,right,0.9624560999800451,129.82763869999326,None,129.82763869999326,None,130.82105149998097,None,left,0.050149999995483086,130.82105149998097,None,resources\JPG\toyelephant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag5_T1A_T2A,5,A,A,6,11,5,5,16,castle,Did you see the castle?,0.5,0.016,JPG\,tape02a,englishmuffin,flask,ladle02a,deskchair01,peach01,plasticflower01a,squeegee01b,telephone01b,whisk,lunchbox01,syringe02,baguette01,bicyclehelmet,box01,coffeepot03a,blankImage,None,tape02a,englishmuffin,flask,ladle02a,deskchair01,peach01,plasticflower01a,squeegee01b,telephone01b,whisk,lunchbox01,syringe02,baguette01,bicyclehelmet,box01,coffeepot03a,0,11,11,11,,,,,,,,,,,130.9011892999988,131.9043238000013,131.8878102999879,132.52757760000532,132.52757760000532,None,right,0.5552776000113226,140.54853050000384,None,140.54853050000384,None,141.12067340000067,None,left,0.10178269998868927,141.12067340000067,None,resources\JPG\box01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.25396329999785,None,space,4.749557899980573,141.25396329999785,None,,,,,,,,,,,,,,,,,,,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,giraffe,Did you see the giraffe?,0.05,0.016,JPG\,pencil01,foosballtable,banana01,lipstick02a,toaster01,grape01,key01,giraffe,blender,pineapple01a,strawberry,teabag,dandelion,paintbrush01,blankImage,blankImage,blankImage,giraffe,pencil01,foosballtable,banana01,lipstick02a,toaster01,grape01,key01,medal02b,mushroom01,pineapple01a,strawberry,teabag,dandelion,paintbrush01,brick,sewingmachine01a,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.39861509998445,150.4038864999893,150.3872247999825,151.1066645999963,151.1066645999963,None,151.7340140999877,None,right,0.7530785000126343,151.7340140999877,None,152.5038583999849,None,left,0.07708109999657609,152.5038583999849,None,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,owl,Did you see the owl?,0.05,0.016,JPG\,paintbrush01,eraser,medal02b,hammer01,speaker04,greathornowl,blender,comb02a,plate01b,clock01a,button01,globe,blankImage,blankImage,blankImage,blankImage,blankImage,greathornowl,paintbrush01,eraser,medal02b,hammer01,speaker04,balloon01b,spoon01,comb02a,plate01b,clock01a,button01,globe,sunglasses04,pen04b,foosballtable,lighter01,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.60378919998766,153.60412139998516,153.60412139998516,154.19653799998923,154.19653799998923,None,154.89466979997815,None,right,0.7394462999945972,154.89466979997815,None,155.65384439998888,None,left,0.07510749998618849,155.65384439998888,None,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,3,10,handcuffs,Did you see the handcuffs?,0.05,0.016,JPG\,sewingmachine01a,scarf,carrot01,book01b,eraser,handcuffs,blender,lipstick02a,printer02,garlic01a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,handcuffs,sewingmachine01a,scarf,carrot01,book01b,eraser,watermelon01,plate01b,lipstick02a,printer02,garlic01a,envelope03a,binoculars01b,tomato01,candy,comb02a,iron01b,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.7785281999968,156.78704579998157,156.7704301000049,157.40500909998082,157.40500909998082,None,157.95340199998464,None,right,0.758365000016056,157.95340199998464,None,158.73713599998155,None,left,0.05161590001080185,158.73713599998155,None,errorPics3,001,2022-06-15_09h25.16.503,ABstudy,2022.1.4,60.02278465135171,
